dataset,column,data_type,description,example_value,constraints
ground_truth.csv,true_event_effect_nrx,"numeric(12,4)","HIDDEN TRUTH: total incremental NRx caused by this event for this HCP, summed over post-months +1..+3 (weights 0.45/0.33/0.22). Can be negative.",4.8312,Real; NEVER a model input; absent rows = zero true effect
ground_truth.csv,true_event_effect_trx,"numeric(12,4)",HIDDEN TRUTH: matching total incremental TRx over post-months +1..+3.,11.9044,Real; NEVER a model input
data_dictionary.csv,dataset,string,Bronze file the column belongs to.,hcp_master.csv,Not null
data_dictionary.csv,column,string,Column name.,hcp_id,"Not null; (dataset,column) unique"
data_dictionary.csv,data_type,string,Logical data type.,string,Not null
data_dictionary.csv,description,string,Business meaning of the column.,Master HCP identifier.,Not null
data_dictionary.csv,example_value,string,Representative value.,HCP100001,Free text
data_dictionary.csv,constraints,string,"Keys, domains, ranges and injected-defect notes.",PK; unique; not null,Free text
data_quality_report.csv,check_name,string,Stable machine-readable check identifier.,imperfection_duplicate_signin_injected,Not null; unique
data_quality_report.csv,dataset,string,Bronze file(s) the check was executed against.,event_attendance.csv,Not null
data_quality_report.csv,expected,string,The rule or target the check asserts.,~1.0% of attendance rows duplicated,Not null
data_quality_report.csv,observed,string,Value measured from the written CSV.,1.00% (102/10214),Not null
data_quality_report.csv,status,string,pass = bronze satisfies the rule. fail = an intentional defect is present and the downstream layer must handle it.,pass,Enum(2): pass|fail
_checksums.csv,filename,string,Bronze file name.,hcp_master.csv,PK; unique
_checksums.csv,row_count,integer,Data rows in the file (header excluded).,2500,Integer >= 0
_checksums.csv,sha256,string,SHA-256 of the file bytes; reproducible from data/seed.txt.,9f1c...,64 hex chars
_checksums.csv,generated_at,string,UTC generation timestamp of the batch (audit metadata only).,2026-08-19T00:00:00Z,ISO-8601 UTC
